Species,Breed,Colour,Horn shape and size,Visible characteristics,Height (avg. cm.),Body Length (avg. cm.),Heart girth (avg. cm.)
Cattle,Bachaur,White or Grey,"Horns are small and stumpy, curving outward, upward and downward.",Medium sized compact animals with straight back. Forehead flat or slightly convex.,118.38,117.4,148.58
Cattle,Badri,"Black, Brown, or Grey. Some of the females are also white in colour",Curved -upward and inward. 10-22cm in males and 15-25cm in females,"Small sized, active and sure-footed. Straight forehead with prominent poll, medium to large hump. Udder small and tucked up with the body.",110.5,115.2,145.2
Cattle,Bargur,Brown with white markings.,"Horns are closer at root and are inclined backward, outward and upward with a forward curve; sharp at the tip. Medium in size and light brown in colour.",Brown colour with white markings and light brown colour of horns.,126.0,177.0,156.0
Cattle,Belahi,Reddish Brown & Grey or white,"Sickle shaped, Curved upwards and inwards. Average size 27.2cm in males and 25.4cm in females","Medium sized animals. Uniform but distinct body colour pattern having reddish brown body, and white face and extremities and different degrees of white colour on ventral part of body. Head is straight and broad with prominent poll.",131.13,124.5,162.71
Cattle,Binjharpuri,"White. Some animals are Grey, Black or Brown in colour","Curved upward and inward.Male: 21.17�2.86, Female: 12.70�1.31cm","Medium sized, strong dual type animal. Hump, neck, and some region of face and back are black in colour irrespective of coat colour in males",124.4,126.32,144.2
Cattle,Dagri,"Predominantly white, sometimes with grey shade","Horn are short, thin, curved upward in a lyre shaped or in straight fashion with pointed tip",Small sized animal with compact body and straight forehead. Body length is proportionally more than height,106.7,115.5,134.4
Cattle,Dangi,Dangi cattle have distinct white coat colour with red or black spots distributed unevenly over the body.,Horns are short (12-15 cm) and thick with lateral pointing tips Animals with inward and also with downward pointing horn tips are also available in sizable numbers.,Uneven distribution of black or red spots over the body. Forehead is slightly protruding.,117.0,129.0,154.0
Cattle,Deoni,Body colour is usually spotted black and white. This breed has three strains viz. 1- Complete white(Balankya). 2.- Comlete white with partial black face (Wannera). 3-Black and white spotted(Waghyd or Shevera),Horn emerge from the side of the poll behind and above the eyes in out ward and upward direction. Horn size is small and the tips are blunt.,"Black and white spotted body colour, drooping ears, prominent and slightly bulging forehead",139.6,135.1,173.6
Cattle,Gangatiri,"Complete white (Dhawar), Grey (Sokan)",Medium sized. Emerges from side of the poll behind and above eyes in outward and curving upwards and inwards ending with pointed tips,"Forehead is Prominent, straight and broad with shallow groove in the middle. Eyelids, muzzle, hooves and tail switch are generally black",141.81,119.37,175.64
Cattle,Gaolao,Blackish white in males and White in female. Males are generally grey over the neck.,Horns are short and stumpy and curve slightly backward.,Head markedly long and narrow tapering towards muzzle. Forehead recedes at the top giving a slightly convex appearance. Eyes almond shaped and placed slightly at angles.,128.46,103.92,158.83
Cattle,Ghumusari,Mainly White sometimes Grey,"Curved upward and inward. Some animals have straight horns. Male: 8.72�1.54, Female: 7.47�1.67cm","Small sized, strong and draft type animal. Small head with forehead being flat, broad and depressed in between the eyes",108.09,116.02,136.14
Cattle,Gir,Most of the Gir aninmals are pure red though some are speckled red.,"Horns are peculiarly curved. Starting at the base of the crown they take a sideways downward and backward curve and again incline a little upward and forward taking a spiral inward sweep, ending in a fine taper- thus giving a half moon appearance.",Long and pendulous ears folded like a leaf. Ears hang all the time and their inside face forward.,159.84,137.51,201.41
Cattle,Hallikar,"White to light grey with darker shadings on shoulder and hind quarters, especially in young breeding bulls.","Emerge near to each other from top of poll and are carried upward and backward, each in a staright line for nearly half their length and then with gentle and gracefull sweep bend forward and slightly inward ending up with pointed tips.","White markings or irregular patches round the eyes and cheeks, and neck or shoulder region are the distinctive features of this breed",134.55,138.94,163.15
Cattle,Hariana,Animals are white or light grey in colour. In bulls colour in between fore and hind quarters is relatively dark or dark grey.,Horns are small in size.,"White colour, long and narow face, well marked bony prominence at the centre of poll and small horns.",138.43,141.02,173.96
Cattle,Himachali Pahari,Primarily black and blackish brown,"Medium sized, mainly curved in lateral and upward direction. Size: Male- 16.1, Female- 12.9cm","Small to medium sized animal with compact cylindrical body, short legs, medium hump, horizontally placed ears and comparatively long tail.",110.3,140.3,136.9
Cattle,Kangayam,"Coat is red at birth, but changes to grey at about 6 month of age. Bulls are grey with dark colour in hump, fore and hind quarters, face and legs. Bullocks are grey. Cows are grey or white and grey. The face of majority of cows is dark grey.","Horn are long and strong, take backward, outward and upward sweep and then curving inward with tips tending to meet each other to form crescent shape.","Long horns nearly completing a circle, long hump and strong body.",139.5,144.3,169.9
Cattle,Kankrej,Varies from silver-grey to iron grey or steel grey. In males fore & hind quarters and hump are slightly darker than the rest of the body.,Horn are strong and curved outward and upward in a lyre shaped fashion.They are curved with skin to a longer distance as compared to other breeds.,"Heaviest breed of cattle. Strong lyre shaped horns, large pendulsus and open ears.",158.0,148.0,194.0
